DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2022-05-04                18:17:31.089              123.42883206              2962.291969               124.42883206              1651688251.090            0                         963                       1.3998977661E+002         4.4999809265E+001         3.3875000000E+001         4.5304801941E+001         4.4999992371E+001         3.0000000000E+000         1.6000000000E+001         3.0858554688E+004         0.0000000000E+000         1.9567550237E+000         0.0000000000E+000         4.2106377777E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:32.519              123.42884860              2962.292366               124.42884860              1651688252.519            0                         963                       1.3999965057E+002         4.4999809265E+001         3.3875000000E+001         4.5304801941E+001         4.4999992371E+001         2.0000000000E+000         1.6000000000E+001         3.0862773305E+004         0.0000000000E+000         1.9568273753E+000         0.0000000000E+000         4.2106377777E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:33.428              123.42885913              2962.292619               124.42885913              1651688253.429            0                         963                       1.3999952858E+002         4.4999809265E+001         3.3875000000E+001         4.5304801941E+001         4.4999992371E+001         1.0000000000E+000         1.6000000000E+001         3.0860667904E+004         0.0000000000E+000         1.9568273753E+000         0.0000000000E+000         4.2097583608E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:33.937              123.42886501              2962.292760               124.42886501              1651688253.937            0                         963                       1.4002003479E+002         4.4999809265E+001         3.3875000000E+001         4.5304801941E+001         4.4999992371E+001         3.0000000000E+000         1.6000000000E+001         3.0866683594E+004         0.0000000000E+000         1.9568273753E+000         0.0000000000E+000         4.2097583608E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:35.384              123.42888177              2962.293162               124.42888177              1651688255.385            0                         963                       1.3998455491E+002         4.4999644374E+001         3.3875000000E+001         4.5304801941E+001         4.5000074816E+001         2.0000000000E+000         1.6000000000E+001         3.0856971879E+004         0.0000000000E+000         1.9565222077E+000         0.0000000000E+000         4.2097583608E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:36.298              123.42889234              2962.293416               124.42889234              1651688256.298            0                         963                       1.4000097808E+002         4.4999626160E+001         3.3875000000E+001         4.5304801941E+001         4.5000083923E+001         1.0000000000E+000         1.6000000000E+001         3.0862515215E+004         0.0000000000E+000         1.9565222077E+000         0.0000000000E+000         4.2095967230E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:36.803              123.42889819              2962.293557               124.42889819              1651688256.804            0                         963                       1.3996326329E+002         4.4999626160E+001         3.3875000000E+001         4.5304801941E+001         4.5000083923E+001         3.0000000000E+000         1.6000000000E+001         3.0851991211E+004         0.0000000000E+000         1.9565222077E+000         0.0000000000E+000         4.2095967230E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:38.233              123.42891473              2962.293954               124.42891473              1651688258.233            0                         963                       1.4001452637E+002         4.4999626160E+001         3.3875000000E+001         4.5304801941E+001         4.5000083923E+001         2.0000000000E+000         1.6000000000E+001         3.0866855469E+004         0.0000000000E+000         1.9569203314E+000         0.0000000000E+000         4.2095967230E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:39.132              123.42892515              2962.294204               124.42892515              1651688259.133            0                         963                       1.3999877896E+002         4.4999626160E+001         3.3875000000E+001         4.5304801941E+001         4.5000083923E+001         1.0000000000E+000         1.6000000000E+001         3.0863529548E+004         0.0000000000E+000         1.9569203314E+000         0.0000000000E+000         4.2095323739E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
2022-05-04                18:17:39.638              123.42893100              2962.294344               124.42893100              1651688259.638            0                         963                       1.3998137254E+002         4.4999626160E+001         3.3875000000E+001         4.5304801941E+001         4.5000083923E+001         3.0000000000E+000         1.6000000000E+001         3.0858484375E+004         0.0000000000E+000         1.9569203314E+000         0.0000000000E+000         4.2095323739E+002         0.0000000000E+000         0.0000000000E+000         0.0000000000E+000         
